age,sex,admission_category,province,world_region,speaks_official_language,education_level,family_size,field_of_study,previous_occupation,occupation_category,years_of_experience,teer_category,credential_recognition_status,regulated_profession,employment_probability,employed,employment_category,employment_occupation,employment_sector,occupationally_downgraded,annual_income,months_to_employment,rent_to_income_ratio,housing_affordable,affordability_score
37,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Accounting,HR Specialist,"Business, Finance & Administration",7,TEER 1,Fully Recognized,0,0.9156953817341398,1,"Business, Finance & Administration",HR Specialist,Public Administration,0,104100.0,1,0.24,1,0.918
20,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Engineering Technology,Mechanical Engineer,Natural & Applied Sciences,4,TEER 1,Fully Recognized,0,0.9117544233425352,1,Natural & Applied Sciences,Data Analyst,Construction,0,108800.0,1,0.23,1,0.919
22,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Early Childhood Education,Early Childhood Educator,"Education, Law & Social Services",0,TEER 1,Partially Recognized,1,0.9042397713012047,1,"Education, Law & Social Services",Social Worker,Health Care & Social Assistance,0,66100.0,2,0.38,0,0.75
18,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Hospitality Management,Retail Sales Associate,Sales & Service,2,TEER 4,Fully Recognized,0,0.9117544233425352,0,Not Employed,Not Employed,Not Applicable,0,0.0,8,1.75,0,0.365
26,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Business Administration,Administrative Officer,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.9223882294079896,1,"Business, Finance & Administration",Bookkeeper,Public Administration,0,116000.0,1,0.22,1,0.925
18,M,Canadian Experience Class,Ontario,South Asia,0,College,3,Community Services,Paralegal,"Education, Law & Social Services",0,TEER 1,Not Recognized,1,0.8659073699380089,1,"Education, Law & Social Services",Teacher,Public Administration,0,35800.0,1,0.7,0,0.55
29,M,Canadian Experience Class,Ontario,South Asia,1,University,5,Accounting,Accountant,"Business, Finance & Administration",5,TEER 1,Fully Recognized,0,0.9252038106189769,1,"Business, Finance & Administration",HR Specialist,Professional Services,0,122400.0,2,0.21,1,0.928
31,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Pharmacy,Pharmacist,Health,5,TEER 1,Not Assessed,1,0.914920192271195,1,Health,Medical Laboratory Technologist,Health Care & Social Assistance,0,126000.0,1,0.2,1,0.926
40,M,Canadian Experience Class,Ontario,South Asia,1,High School,3,General Studies,Civil Engineer,Natural & Applied Sciences,18,TEER 1,Fully Recognized,0,0.909310671000383,1,Natural & Applied Sciences,Software Developer,Manufacturing,0,110200.0,1,0.23,1,0.918
29,M,Canadian Experience Class,Ontario,South Asia,1,High School,3,General Studies,Social Worker,"Education, Law & Social Services",6,TEER 1,Not Assessed,1,0.8952238012611099,1,"Education, Law & Social Services",Social Worker,Health Care & Social Assistance,0,81100.0,1,0.31,0,0.82
26,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,1,Mathematics,Civil Engineer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.9223882294079896,1,Natural & Applied Sciences,Software Developer,Construction,0,107000.0,1,0.24,1,0.921
26,M,Canadian Experience Class,Ontario,South Asia,1,High School,3,General Studies,Retail Sales Associate,Sales & Service,3,TEER 4,Fully Recognized,0,0.9016103750882992,1,Sales & Service,Customer Service Representative,Retail Trade,0,46700.0,2,0.54,0,0.639
32,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Accounting,Accountant,"Business, Finance & Administration",8,TEER 1,Fully Recognized,0,0.9231010942468642,0,Not Employed,Not Employed,Not Applicable,0,0.0,7,1.75,0,0.369
32,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Management,Restaurant Manager,Management,7,TEER 0,Fully Recognized,0,0.9258928920704023,1,Management,Retail Manager,Construction,0,178500.0,1,0.14,1,0.942
28,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Business Administration,Retail Manager,Management,0,TEER 0,Partially Recognized,0,0.9187323722793015,1,Sales & Service,Customer Service Representative,Retail Trade,1,54900.0,4,0.46,0,0.695
31,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Business Administration,Financial Analyst,"Business, Finance & Administration",2,TEER 1,Fully Recognized,0,0.9202131856374848,1,"Business, Finance & Administration",Administrative Officer,Finance & Insurance,0,98300.0,1,0.26,1,0.909
33,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Nursing,Physician,Health,5,TEER 1,Not Assessed,1,0.9117544233425352,1,"Trades, Transport & Equipment Operators",Electrician,Transportation & Warehousing,1,87200.0,4,0.29,1,0.856
31,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Economics,Bookkeeper,"Business, Finance & Administration",6,TEER 1,Partially Recognized,0,0.9194758847599797,1,Sales & Service,Cashier,Retail Trade,1,43500.0,2,0.58,0,0.626
22,M,Canadian Experience Class,Ontario,South Asia,1,High School,2,General Studies,Civil Engineer,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.9084826409391703,1,Natural & Applied Sciences,IT Analyst,Construction,0,104300.0,1,0.24,1,0.915
18,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Design,Photographer,"Arts, Culture & Recreation",0,TEER 1,Fully Recognized,0,0.9223882294079896,1,"Arts, Culture & Recreation",Musician,"Arts, Entertainment & Recreation",0,104200.0,6,0.24,1,0.921
19,M,Canadian Experience Class,Ontario,South Asia,0,University,3,Finance,Accountant,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.8961580824430119,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,69400.0,1,0.36,0,0.764
26,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Public Administration,Construction Manager,Management,1,TEER 0,Fully Recognized,0,0.9194758847599797,1,Management,Construction Manager,Construction,0,127500.0,1,0.2,1,0.928
28,M,Canadian Experience Class,Ontario,South Asia,1,College,4,Engineering Technology,Civil Engineer,Natural & Applied Sciences,3,TEER 1,Partially Recognized,0,0.9076478184706324,1,"Trades, Transport & Equipment Operators",Truck Driver,Transportation & Warehousing,1,61400.0,12,0.41,0,0.727
31,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Medicine,Medical Laboratory Technologist,Health,1,TEER 1,Fully Recognized,1,0.9172265477151726,1,Health,Medical Laboratory Technologist,Health Care & Social Assistance,0,118600.0,1,0.21,1,0.925
35,M,Canadian Experience Class,Ontario,South Asia,0,University,1,Computer Science,Mechanical Engineer,Natural & Applied Sciences,10,TEER 1,Not Assessed,0,0.8942821058349317,1,Natural & Applied Sciences,Civil Engineer,Manufacturing,0,103100.0,14,0.24,1,0.91
28,M,Canadian Experience Class,Ontario,South Asia,1,College,4,Information Technology,IT Analyst,Natural & Applied Sciences,0,TEER 1,Not Recognized,0,0.8989168514902198,1,Sales & Service,Retail Sales Associate,Retail Trade,1,40500.0,13,0.62,0,0.598
30,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Health Sciences,Dentist,Health,6,TEER 1,Fully Recognized,1,0.9125557003204171,1,Health,Dentist,Health Care & Social Assistance,0,119500.0,1,0.21,1,0.923
31,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Engineering Technology,Civil Engineer,Natural & Applied Sciences,8,TEER 1,Fully Recognized,0,0.9156953817341398,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,129700.0,5,0.19,1,0.928
34,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Engineering Technology,Civil Engineer,Natural & Applied Sciences,8,TEER 1,Partially Recognized,0,0.9117544233425352,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.365
39,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Engineering,IT Analyst,Natural & Applied Sciences,12,TEER 1,Partially Recognized,0,0.9223882294079896,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,130000.0,6,0.19,1,0.931
34,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Business Administration,Food Service Supervisor,Sales & Service,4,TEER 4,Partially Recognized,0,0.9133503930890029,1,"Trades, Transport & Equipment Operators",Truck Driver,Transportation & Warehousing,1,73200.0,1,0.34,0,0.79
26,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Engineering,IT Analyst,Natural & Applied Sciences,3,TEER 1,Fully Recognized,0,0.9223882294079896,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,111300.0,1,0.23,1,0.923
24,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Law,Paralegal,"Education, Law & Social Services",2,TEER 1,Not Assessed,1,0.9076478184706324,1,"Education, Law & Social Services",Social Worker,Public Administration,0,128900.0,5,0.2,1,0.923
37,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Engineering Technology,Auto Mechanic,"Trades, Transport & Equipment Operators",12,TEER 2,Fully Recognized,0,0.9187323722793015,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Manufacturing,0,86500.0,1,0.29,1,0.855
27,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Engineering,Civil Engineer,Natural & Applied Sciences,2,TEER 1,Partially Recognized,0,0.91569538173414,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,111700.0,1,0.23,1,0.92
42,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Engineering Technology,Mechanical Engineer,Natural & Applied Sciences,12,TEER 1,Fully Recognized,0,0.9187323722793015,1,Natural & Applied Sciences,Mechanical Engineer,Manufacturing,0,129600.0,1,0.19,1,0.929
36,M,Canadian Experience Class,Ontario,South Asia,1,High School,3,General Studies,IT Analyst,Natural & Applied Sciences,11,TEER 1,Fully Recognized,0,0.909310671000383,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,96600.0,1,0.26,1,0.898
41,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Management,Operations Manager,Management,10,TEER 0,Not Assessed,0,0.917982607013397,1,Management,Retail Manager,Professional Services,0,122500.0,1,0.21,1,0.925
31,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Communications,Food Service Supervisor,Sales & Service,6,TEER 4,Partially Recognized,0,0.9194758847599797,1,Sales & Service,Food Service Supervisor,Retail Trade,0,115700.0,1,0.22,1,0.924
28,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Engineering Technology,IT Analyst,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.917982607013397,1,Natural & Applied Sciences,Mechanical Engineer,Professional Services,0,119300.0,1,0.21,1,0.925
27,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Nursing,Pharmacist,Health,3,TEER 1,Fully Recognized,1,0.9164641530768043,1,Health,Physician,Health Care & Social Assistance,0,82800.0,1,0.3,0,0.838
18,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Communications,Customer Service Representative,Sales & Service,0,TEER 4,Partially Recognized,0,0.91569538173414,1,Sales & Service,Retail Sales Associate,Retail Trade,0,73600.0,9,0.34,0,0.793
36,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",14,TEER 2,Fully Recognized,0,0.9258928920704023,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.37
26,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Business Administration,HR Specialist,"Business, Finance & Administration",4,TEER 1,Fully Recognized,0,0.9117544233425352,1,"Business, Finance & Administration",HR Specialist,Professional Services,0,80200.0,1,0.31,0,0.824
18,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Early Childhood Education,Early Childhood Educator,"Education, Law & Social Services",2,TEER 1,Not Recognized,1,0.8952238012611099,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,69600.0,1,0.36,0,0.764
18,M,Canadian Experience Class,Ontario,South Asia,1,College,4,Information Technology,Civil Engineer,Natural & Applied Sciences,0,TEER 1,Not Assessed,0,0.902493910422163,1,"Trades, Transport & Equipment Operators",Plumber,Manufacturing,1,37800.0,1,0.67,0,0.578
18,M,Canadian Experience Class,Ontario,South Asia,0,College,3,Health Sciences,Medical Laboratory Technologist,Health,2,TEER 1,Not Assessed,1,0.8704842431046107,1,Health,Physician,Health Care & Social Assistance,0,90000.0,4,0.28,1,0.852
22,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Social Work,Early Childhood Educator,"Education, Law & Social Services",2,TEER 1,Partially Recognized,1,0.9125557003204171,1,"Education, Law & Social Services",Lawyer,Public Administration,0,82300.0,9,0.31,0,0.832
21,M,Canadian Experience Class,Ontario,South Asia,0,University,2,Accounting,Financial Analyst,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.8961580824430119,1,"Business, Finance & Administration",Administrative Officer,Public Administration,0,101900.0,1,0.25,1,0.908
29,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Finance,HR Specialist,"Business, Finance & Administration",3,TEER 1,Partially Recognized,0,0.91569538173414,1,"Business, Finance & Administration",Bookkeeper,Finance & Insurance,0,125400.0,1,0.2,1,0.926
26,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Human Resources,Administrative Officer,"Business, Finance & Administration",0,TEER 1,Fully Recognized,0,0.9117544233425352,1,"Business, Finance & Administration",Accountant,Public Administration,0,90600.0,1,0.28,1,0.871
29,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Business Administration,Customer Service Representative,Sales & Service,0,TEER 4,Partially Recognized,0,0.9187323722793015,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,1,84800.0,3,0.3,0,0.847
28,M,Canadian Experience Class,Ontario,South Asia,0,College,5,Business Administration,Accountant,"Business, Finance & Administration",4,TEER 1,Not Recognized,0,0.8704842431046107,1,Sales & Service,Food Service Supervisor,Retail Trade,1,63300.0,27,0.4,0,0.721
25,M,Canadian Experience Class,Ontario,South Asia,1,High School,4,Skilled Trades,Plumber,"Trades, Transport & Equipment Operators",3,TEER 2,Fully Recognized,0,0.9016103750882992,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Construction,0,77300.0,1,0.33,0,0.804
39,M,Canadian Experience Class,Ontario,South Asia,0,Postgraduate,1,Medicine,Pharmacist,Health,12,TEER 1,Not Recognized,1,0.890440364010517,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,74600.0,2,0.34,0,0.787
33,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Business Administration,Administrative Officer,"Business, Finance & Administration",8,TEER 1,Not Assessed,0,0.914920192271195,1,"Trades, Transport & Equipment Operators",Truck Driver,Construction,1,105800.0,2,0.24,1,0.918
50,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Human Resources,HR Specialist,"Business, Finance & Administration",16,TEER 1,Fully Recognized,0,0.9285911749090362,1,"Business, Finance & Administration",Financial Analyst,Professional Services,0,137900.0,2,0.18,1,0.935
29,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Business Administration,Administrative Officer,"Business, Finance & Administration",4,TEER 1,Partially Recognized,0,0.91569538173414,1,Sales & Service,Cashier,Retail Trade,1,62400.0,3,0.4,0,0.736
28,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Pharmacy,Registered Nurse,Health,2,TEER 1,Partially Recognized,1,0.9125557003204171,1,Manufacturing & Utilities,Production Worker,Transportation & Warehousing,1,47000.0,1,0.54,0,0.645
31,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Public Administration,Retail Manager,Management,2,TEER 0,Fully Recognized,0,0.9172265477151726,1,Management,Retail Manager,Retail Trade,0,115400.0,6,0.22,1,0.923
25,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,2,Engineering,IT Analyst,Natural & Applied Sciences,3,TEER 1,Not Assessed,0,0.9141385432247435,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,99700.0,2,0.25,1,0.914
33,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Manufacturing Technology,Machine Operator,Manufacturing & Utilities,4,TEER 5,Fully Recognized,0,0.9172265477151726,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.367
27,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Physical Sciences,IT Analyst,Natural & Applied Sciences,4,TEER 1,Fully Recognized,0,0.9194758847599797,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,130500.0,1,0.19,1,0.93
30,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,5,Public Administration,Operations Manager,Management,5,TEER 0,Partially Recognized,0,0.9223882294079896,1,Sales & Service,Food Service Supervisor,Retail Trade,1,77400.0,1,0.33,0,0.813
26,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Health Sciences,Medical Laboratory Technologist,Health,3,TEER 1,Not Recognized,1,0.9042397713012047,1,Sales & Service,Cashier,Accommodation & Food Services,1,40100.0,1,0.63,0,0.596
19,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Engineering Technology,Truck Driver,"Trades, Transport & Equipment Operators",0,TEER 2,Fully Recognized,0,0.9194758847599797,1,"Trades, Transport & Equipment Operators",Plumber,Transportation & Warehousing,0,111600.0,3,0.23,1,0.922
26,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Pharmacy,Medical Laboratory Technologist,Health,4,TEER 1,Fully Recognized,1,0.9164641530768043,1,Health,Dentist,Health Care & Social Assistance,0,127200.0,1,0.2,1,0.927
25,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Business Administration,Customer Service Representative,Sales & Service,0,TEER 4,Fully Recognized,0,0.9117544233425352,1,Sales & Service,Retail Sales Associate,Retail Trade,0,79900.0,1,0.32,0,0.82
27,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Health Sciences,Dentist,Health,2,TEER 1,Partially Recognized,1,0.9125557003204171,1,Health,Registered Nurse,Health Care & Social Assistance,0,91800.0,9,0.27,1,0.878
26,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Nursing,Dentist,Health,6,TEER 1,Not Recognized,1,0.9109465205509883,1,Manufacturing & Utilities,Machine Operator,Manufacturing,1,57200.0,1,0.44,0,0.705
28,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Pharmacy,Physician,Health,0,TEER 1,Partially Recognized,1,0.9125557003204171,1,Health,Dentist,Health Care & Social Assistance,0,133400.0,1,0.19,1,0.927
37,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Mathematics,IT Analyst,Natural & Applied Sciences,14,TEER 1,Partially Recognized,0,0.9223882294079896,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,98100.0,1,0.26,1,0.909
24,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,1,Engineering,Software Developer,Natural & Applied Sciences,0,TEER 1,Not Assessed,0,0.9141385432247435,1,"Trades, Transport & Equipment Operators",Plumber,Transportation & Warehousing,1,84500.0,4,0.3,0,0.844
25,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Physical Sciences,Mechanical Engineer,Natural & Applied Sciences,0,TEER 1,Partially Recognized,0,0.91569538173414,0,Not Employed,Not Employed,Not Applicable,0,0.0,17,1.75,0,0.366
18,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Community Services,Paralegal,"Education, Law & Social Services",0,TEER 1,Not Recognized,1,0.8952238012611099,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,60000.0,11,0.42,0,0.714
26,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Mathematics,Mechanical Engineer,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.9252038106189769,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,129400.0,1,0.19,1,0.932
33,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Automotive Technology,Welder,"Trades, Transport & Equipment Operators",7,TEER 2,Not Recognized,0,0.9033703619750149,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,0,75900.0,1,0.33,0,0.799
36,M,Canadian Experience Class,Ontario,South Asia,1,University,1,Mathematics,Civil Engineer,Natural & Applied Sciences,12,TEER 1,Fully Recognized,0,0.9258928920704023,0,Not Employed,Not Employed,Not Applicable,0,0.0,5,1.75,0,0.37
25,M,Canadian Experience Class,Ontario,South Asia,1,High School,1,Skilled Trades,Welder,"Trades, Transport & Equipment Operators",4,TEER 2,Partially Recognized,0,0.8970849904350151,1,"Trades, Transport & Equipment Operators",Welder,Construction,0,70400.0,3,0.36,0,0.768
30,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Community Services,Lawyer,"Education, Law & Social Services",11,TEER 1,Not Recognized,1,0.9033703619750149,1,"Trades, Transport & Equipment Operators",Truck Driver,Manufacturing,1,106000.0,4,0.24,1,0.913
24,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Business Administration,Retail Sales Associate,Sales & Service,1,TEER 4,Fully Recognized,0,0.9194758847599797,0,Not Employed,Not Employed,Not Applicable,0,0.0,9,1.75,0,0.368
37,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Hospitality Management,Restaurant Manager,Management,10,TEER 0,Fully Recognized,0,0.9187323722793015,0,Not Employed,Not Employed,Not Applicable,0,0.0,5,1.75,0,0.367
37,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Pharmacy,Medical Laboratory Technologist,Health,13,TEER 1,Partially Recognized,1,0.9194758847599797,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,75000.0,3,0.34,0,0.8
38,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",9,TEER 2,Fully Recognized,0,0.9258928920704023,1,"Trades, Transport & Equipment Operators",Truck Driver,Manufacturing,0,110500.0,1,0.23,1,0.924
37,M,Canadian Experience Class,Ontario,South Asia,1,University,3,Engineering,IT Analyst,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.9231010942468642,1,Natural & Applied Sciences,IT Analyst,Construction,0,127100.0,2,0.2,1,0.929
30,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Business Administration,Retail Manager,Management,4,TEER 0,Fully Recognized,0,0.9172265477151726,1,Management,Restaurant Manager,Professional Services,0,135800.0,1,0.19,1,0.929
25,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Hospitality Management,Cashier,Sales & Service,0,TEER 4,Fully Recognized,0,0.9117544233425352,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,0,58300.0,1,0.43,0,0.712
27,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Accounting,Administrative Officer,"Business, Finance & Administration",4,TEER 1,Fully Recognized,0,0.9194758847599797,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.368
21,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Mathematics,Software Developer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.9223882294079896,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.369
37,M,Canadian Experience Class,Ontario,South Asia,0,University,3,Physical Sciences,IT Analyst,Natural & Applied Sciences,9,TEER 1,Partially Recognized,0,0.8961580824430119,1,Sales & Service,Retail Sales Associate,Retail Trade,1,63500.0,9,0.4,0,0.732
27,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Early Childhood Education,Social Worker,"Education, Law & Social Services",3,TEER 1,Partially Recognized,1,0.9042397713012047,1,"Education, Law & Social Services",Teacher,Health Care & Social Assistance,0,77900.0,2,0.32,0,0.809
29,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Information Technology,Mechanical Engineer,Natural & Applied Sciences,7,TEER 1,Not Recognized,0,0.9059576296522692,1,Sales & Service,Cashier,Accommodation & Food Services,1,16300.0,3,1.55,0,0.428
31,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Engineering Technology,Data Analyst,Natural & Applied Sciences,8,TEER 1,Fully Recognized,0,0.9156953817341398,1,Natural & Applied Sciences,Software Developer,Manufacturing,0,122400.0,1,0.21,1,0.924
24,M,Canadian Experience Class,Ontario,South Asia,1,High School,1,General Studies,Financial Analyst,"Business, Finance & Administration",3,TEER 1,Fully Recognized,0,0.9016103750882992,1,"Business, Finance & Administration",Administrative Officer,Professional Services,0,116500.0,4,0.22,1,0.917
26,M,Canadian Experience Class,Ontario,South Asia,1,College,3,Community Services,Teacher,"Education, Law & Social Services",3,TEER 1,Not Assessed,1,0.8989168514902198,1,"Education, Law & Social Services",Lawyer,Public Administration,0,92300.0,1,0.27,1,0.875
20,M,Canadian Experience Class,Ontario,South Asia,1,College,2,Engineering Technology,Data Analyst,Natural & Applied Sciences,0,TEER 1,Partially Recognized,0,0.9076478184706324,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,131300.0,2,0.19,1,0.925
24,M,Canadian Experience Class,Ontario,South Asia,1,University,5,Business Administration,Cashier,Sales & Service,2,TEER 4,Partially Recognized,0,0.91569538173414,1,Sales & Service,Cashier,Retail Trade,0,41200.0,1,0.61,0,0.609
28,M,Canadian Experience Class,Ontario,South Asia,1,University,2,Economics,HR Specialist,"Business, Finance & Administration",1,TEER 1,Partially Recognized,0,0.91569538173414,1,"Business, Finance & Administration",Administrative Officer,Finance & Insurance,0,111200.0,2,0.23,1,0.92
19,M,Canadian Experience Class,Ontario,South Asia,1,High School,4,General Studies,Lawyer,"Education, Law & Social Services",3,TEER 1,Not Recognized,1,0.88342248236236,1,Sales & Service,Retail Sales Associate,Retail Trade,1,31400.0,1,0.8,0,0.519
24,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Physical Sciences,Data Analyst,Natural & Applied Sciences,1,TEER 1,Fully Recognized,0,0.9194758847599797,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,84600.0,2,0.3,0,0.846
21,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Psychology,Social Worker,"Education, Law & Social Services",1,TEER 1,Not Recognized,1,0.9042397713012047,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,42300.0,1,0.6,0,0.611
24,M,Canadian Experience Class,Ontario,South Asia,1,High School,1,General Studies,Data Analyst,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.9084826409391703,1,Natural & Applied Sciences,Software Developer,Professional Services,0,155700.0,1,0.16,1,0.931
39,M,Canadian Experience Class,Ontario,South Asia,1,College,1,Business Administration,Retail Manager,Management,13,TEER 0,Not Recognized,0,0.9068061619289326,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,83200.0,3,0.3,0,0.836
39,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Physical Sciences,IT Analyst,Natural & Applied Sciences,11,TEER 1,Fully Recognized,0,0.9258928920704023,1,Natural & Applied Sciences,Software Developer,Professional Services,0,132100.0,1,0.19,1,0.932
39,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,3,Computer Science,Software Developer,Natural & Applied Sciences,12,TEER 1,Fully Recognized,0,0.9285911749090362,1,Sales & Service,Customer Service Representative,Retail Trade,1,50200.0,2,0.5,0,0.672
30,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Business Administration,Operations Manager,Management,4,TEER 0,Not Recognized,0,0.9051021799885557,1,Sales & Service,Customer Service Representative,Retail Trade,1,46600.0,1,0.54,0,0.64
27,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Computer Science,IT Analyst,Natural & Applied Sciences,5,TEER 1,Fully Recognized,0,0.9252038106189769,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,134800.0,5,0.19,1,0.932
38,M,Canadian Experience Class,Ontario,South Asia,1,University,4,Education,Early Childhood Educator,"Education, Law & Social Services",16,TEER 1,Not Assessed,1,0.914920192271195,1,Sales & Service,Cashier,Accommodation & Food Services,1,97100.0,7,0.26,1,0.902
32,M,Canadian Experience Class,Ontario,South Asia,1,Postgraduate,4,Education,Paralegal,"Education, Law & Social Services",2,TEER 1,Partially Recognized,1,0.9133503930890029,1,"Education, Law & Social Services",Lawyer,Public Administration,0,86800.0,6,0.29,1,0.855
